duid,district,lon,lat,height_m,storeys,current_name,display_name,display_role,official_building_name,structural_identifier,project_name,plot_id,address,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,tenant_names,amenity_names,developer,method,changed
DXB-ALHEBI-596377eaee,alhebiahfifth,55.253697,24.998005,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-5adf06f018,alhebiahfifth,55.253367,24.997708,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-f360c28b1a,alhebiahfifth,55.253426,24.997945,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-82bdb23c04,alhebiahfifth,55.253315,24.998019,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-75fdb11173,alhebiahfifth,55.250308,24.996869,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-b125f31c3d,alhebiahfifth,55.247179,24.998164,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-30a671e1e0,alhebiahfifth,55.247319,24.998764,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-5936b45463,alhebiahfifth,55.249535,25.004891,12.0,3,Carrefour supermarket,Carrefour supermarket,BUILDING_NAME,Carrefour supermarket,,,,,MATCHED,osm,osm,0.9,0.0,True,,,,carried on the footprint by build_anchors,False
DXB-ALHEBI-22c355af92,alhebiahfifth,55.247836,25.004128,12.0,3,Al Thamam 28,AL THAMAM 28,BUILDING_NAME,AL THAMAM 28,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-7af7ca3c0e,alhebiahfifth,55.249569,25.00741,12.0,3,Al Thamam 14,AL THAMAM 14,BUILDING_NAME,AL THAMAM 14,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-55524fdcf1,alhebiahfifth,55.251615,25.006889,12.0,3,Al Thamam 6,AL THAMAM 6,BUILDING_NAME,AL THAMAM 6,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-36c7a217eb,alhebiahfifth,55.249521,25.006725,12.0,3,Al Thamam 16,AL THAMAM 16,BUILDING_NAME,AL THAMAM 16,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-23861a7c76,alhebiahfifth,55.248026,25.006132,12.0,3,Al Thamam 20,AL THAMAM 20,BUILDING_NAME,AL THAMAM 20,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-0bd45a2f2c,alhebiahfifth,55.251755,25.007578,12.0,3,Al Thamam 8,AL THAMAM 8,BUILDING_NAME,AL THAMAM 8,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-3568d79f8e,alhebiahfifth,55.247267,25.004542,12.0,3,Al Thamam 26,AL THAMAM 26,BUILDING_NAME,AL THAMAM 26,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-51dd3c5a13,alhebiahfifth,55.249929,25.005363,12.0,3,,,,,,,,,UNKNOWN,,,0.0,,,,,,,False
DXB-ALHEBI-67d7b1825d,alhebiahfifth,55.250688,25.00045,12.0,3,Al Ramth 13,AL RAMTH 13,BUILDING_NAME,AL RAMTH 13,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-dfc0d7557b,alhebiahfifth,55.25091,25.000135,12.0,3,Al Ramth 15,AL RAMTH 15,BUILDING_NAME,AL RAMTH 15,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-fd19d79834,alhebiahfifth,55.250389,25.001506,12.0,3,Al Ramth 9,AL RAMTH 9,BUILDING_NAME,AL RAMTH 9,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
DXB-ALHEBI-3e677a5922,alhebiahfifth,55.250354,25.001108,12.0,3,Al Ramth 11,AL RAMTH 11,BUILDING_NAME,AL RAMTH 11,,,,,VERIFIED,dld,dld,0.92,0.0,True,,,,DLD transactions register building name (name match),False
